drop_id,date,rig,usefulness,island,general_area,mpa_status,reserve_name,lat,long,time_in,depth,habitat,rugosity,relief,site,island_mpa
ANA_001,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA
ANA_002,2019-08-30T00:00:00Z,1,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.01966,-119.37472,1899-12-31T09:47:00Z,30.3,soft,low,low,Anacapa,Anacapa MPA
ANA_003,2019-08-30T00:00:00Z,3,1,Anacapa,Back Side,REF,ANA_REF,34.00287,-119.37119,1899-12-31T11:01:00Z,51.2,mixed_soft,low,low,Anacapa,Anacapa REF
ANA_004,2019-09-12T00:00:00Z,8,1,Anacapa,Front Side,MPA,ANA_SMCA,34.01845,-119.4437,1899-12-31T09:02:00Z,39.8,hard,medium,low,Anacapa,Anacapa MPA
ANA_005,2019-09-12T00:00:00Z,1,1,Anacapa,Front Side,MPA,ANA_SMCA,34.02881,-119.41878,1899-12-31T09:31:00Z,83,soft,low,low,Anacapa,Anacapa MPA
ANA_006,2019-09-12T00:00:00Z,8,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02077,-119.37403,1899-12-31T10:11:00Z,41.6,soft,low,low,Anacapa,Anacapa MPA
ANA_007,2019-09-12T00:00:00Z,1,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02837,-119.37345,1899-12-31T10:51:00Z,76.3,mixed_soft,low,low,Anacapa,Anacapa MPA
ANA_008,2019-09-12T00:00:00Z,1,5,Anacapa,Back Side,REF,ANA_REF,33.9957,-119.37731,1899-12-31T12:05:00Z,69.3,NA,NA,NA,Anacapa,Anacapa REF
ANA_009,2019-09-12T00:00:00Z,8,1,Anacapa,Back Side,REF,ANA_REF,34.00119,-119.38372,1899-12-31T12:29:00Z,45.2,soft,low,low,Anacapa,Anacapa REF
ANA_010,2019-09-12T00:00:00Z,1,4,Anacapa,Back Side,REF,ANA_REF,33.99438,-119.37838,1899-12-31T12:44:00Z,71.6,hard,medium,low,Anacapa,Anacapa REF
