filename,time_mins,period,length_mm,rms_mm,range_mm,tape_reader,drop_id,genus,species,pisco_code,number,stage,activity,date,rig,usefulness,island,general_area,mpa_status,reserve_name,lat,long,time_in,depth,habitat,rugosity,relief,site,island_mpa,org_type,common_name,species_name,kingdom,phylum,class,order,family,common_group,trophic_group,broad_trophic_group,targeted,feeding_mode,structure_forming,turf_forming,substrate,lifestyle,taxonomic_id,taxonomic_source,wl_a,wl_b,wl_w_units,wl_l_units,wl_input_length,ll_equation_for_wl,lc_a_for_wl,lc_b_for_wl,lc_type_for_wl,recreational_legal_size_in_tl_2020,commercial_legal_size_in_tl_2020,thermal_composite_class,thermal_agreement,water_column_position,mobility,substrate_association,fish_length_converted,fish_weight_g,fish_weight_lbs,fish_weight_kg
ANA_001_LEFT_SEG1.MP4,13.3367,1,112.951,7.466,2378.19,CJ,ANA_001,Sebastes,semicinctus,SSEM,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Halfbanded Rockfish,Sebastes semicinctus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Rockfishes,planktivore,planktivore,Non-targeted,NA,NODATA,NODATA,NA,NA,274713,WoRMS,4.43e-9,3.182,kg,mm,TL,NA,NA,NA,NA,NA,NA,Warm,High,benthopelagic (near the bottom),mobile (100-1000m),rock,112.951,15.09,0.0333,0.01509
ANA_001_LEFT_SEG1.MP4,13.355,1,92.374,6.942,2263.457,CJ,ANA_001,Sebastes,semicinctus,SSEM,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Halfbanded Rockfish,Sebastes semicinctus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Rockfishes,planktivore,planktivore,Non-targeted,NA,NODATA,NODATA,NA,NA,274713,WoRMS,4.43e-9,3.182,kg,mm,TL,NA,NA,NA,NA,NA,NA,Warm,High,benthopelagic (near the bottom),mobile (100-1000m),rock,92.374,7.96,0.0175,0.00796
ANA_001_LEFT_SEG1.MP4,13.355,1,103.86,7.423,2043.813,CJ,ANA_001,Sebastes,semicinctus,SSEM,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Halfbanded Rockfish,Sebastes semicinctus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Rockfishes,planktivore,planktivore,Non-targeted,NA,NODATA,NODATA,NA,NA,274713,WoRMS,4.43e-9,3.182,kg,mm,TL,NA,NA,NA,NA,NA,NA,Warm,High,benthopelagic (near the bottom),mobile (100-1000m),rock,103.86,11.55,0.0255,0.01155
ANA_001_LEFT_SEG1.MP4,13.4062,1,106.829,6.762,2158.076,CJ,ANA_001,Sebastes,semicinctus,SSEM,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Halfbanded Rockfish,Sebastes semicinctus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Rockfishes,planktivore,planktivore,Non-targeted,NA,NODATA,NODATA,NA,NA,274713,WoRMS,4.43e-9,3.182,kg,mm,TL,NA,NA,NA,NA,NA,NA,Warm,High,benthopelagic (near the bottom),mobile (100-1000m),rock,106.829,12.64,0.0279,0.01264
ANA_001_LEFT_SEG1.MP4,13.4062,1,112.528,5.36,1971.697,CJ,ANA_001,Sebastes,semicinctus,SSEM,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Halfbanded Rockfish,Sebastes semicinctus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Rockfishes,planktivore,planktivore,Non-targeted,NA,NODATA,NODATA,NA,NA,274713,WoRMS,4.43e-9,3.182,kg,mm,TL,NA,NA,NA,NA,NA,NA,Warm,High,benthopelagic (near the bottom),mobile (100-1000m),rock,112.528,14.91,0.0329,0.01491
ANA_001_LEFT_SEG1.MP4,13.4062,1,125.917,4.494,1619.163,CJ,ANA_001,Sebastes,semicinctus,SSEM,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Halfbanded Rockfish,Sebastes semicinctus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Rockfishes,planktivore,planktivore,Non-targeted,NA,NODATA,NODATA,NA,NA,274713,WoRMS,4.43e-9,3.182,kg,mm,TL,NA,NA,NA,NA,NA,NA,Warm,High,benthopelagic (near the bottom),mobile (100-1000m),rock,125.917,21.32,0.047,0.02132
ANA_001_LEFT_SEG1.MP4,13.4062,1,115.651,5.942,1929.517,CJ,ANA_001,Sebastes,semicinctus,SSEM,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Halfbanded Rockfish,Sebastes semicinctus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Rockfishes,planktivore,planktivore,Non-targeted,NA,NODATA,NODATA,NA,NA,274713,WoRMS,4.43e-9,3.182,kg,mm,TL,NA,NA,NA,NA,NA,NA,Warm,High,benthopelagic (near the bottom),mobile (100-1000m),rock,115.651,16.27,0.0359,0.01627
ANA_001_LEFT_SEG1.MP4,13.4062,1,106.845,6.741,1876.527,CJ,ANA_001,Sebastes,semicinctus,SSEM,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Halfbanded Rockfish,Sebastes semicinctus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Rockfishes,planktivore,planktivore,Non-targeted,NA,NODATA,NODATA,NA,NA,274713,WoRMS,4.43e-9,3.182,kg,mm,TL,NA,NA,NA,NA,NA,NA,Warm,High,benthopelagic (near the bottom),mobile (100-1000m),rock,106.845,12.64,0.0279,0.01264
ANA_001_LEFT_SEG1.MP4,13.4062,1,102.515,4.769,1619.875,CJ,ANA_001,Sebastes,semicinctus,SSEM,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Halfbanded Rockfish,Sebastes semicinctus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Rockfishes,planktivore,planktivore,Non-targeted,NA,NODATA,NODATA,NA,NA,274713,WoRMS,4.43e-9,3.182,kg,mm,TL,NA,NA,NA,NA,NA,NA,Warm,High,benthopelagic (near the bottom),mobile (100-1000m),rock,102.515,11.08,0.0244,0.01108
ANA_001_LEFT_SEG1.MP4,13.6064,1,111.031,4.927,1573.388,CJ,ANA_001,Sebastes,semicinctus,SSEM,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Halfbanded Rockfish,Sebastes semicinctus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Rockfishes,planktivore,planktivore,Non-targeted,NA,NODATA,NODATA,NA,NA,274713,WoRMS,4.43e-9,3.182,kg,mm,TL,NA,NA,NA,NA,NA,NA,Warm,High,benthopelagic (near the bottom),mobile (100-1000m),rock,111.031,14.29,0.0315,0.01428999999999999
ANA_001_LEFT_SEG1.MP4,13.6153,1,116.103,6.481,1725.853,CJ,ANA_001,Sebastes,semicinctus,SSEM,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Halfbanded Rockfish,Sebastes semicinctus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Rockfishes,planktivore,planktivore,Non-targeted,NA,NODATA,NODATA,NA,NA,274713,WoRMS,4.43e-9,3.182,kg,mm,TL,NA,NA,NA,NA,NA,NA,Warm,High,benthopelagic (near the bottom),mobile (100-1000m),rock,116.103,16.47,0.0363,0.01647
ANA_001_LEFT_SEG1.MP4,15.8442,1,269.13,5.49,2236.993,CJ,ANA_001,Citharichthys,sordidus,CSOR,1,AD,Passing,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA,fish,Pacific Sanddab,Citharichthys sordidus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Sanddabs,benthic micro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,10297,WoRMS,0.00552,3.232454,g,cm,TL,NA,NA,NA,NA,NSL,NA,Cool,High,benthic (on/in the bottom),mobile (>1000m),soft,26.913,231.33,0.51,0.23133
