drop_id,pisco_code,biomass_kg
ANA_001,bm_AHOL,80
ANA_002,bm_AHOL,88
ANA_003,bm_AHOL,259
ANA_004,bm_AHOL,75
ANA_005,bm_AHOL,26
ANA_006,bm_AHOL,8
ANA_007,bm_AHOL,30
ANA_009,bm_AHOL,12
ANA_011,bm_AHOL,4
ANA_013,bm_AHOL,84
ANA_015,bm_AHOL,24
ANA_018,bm_AHOL,7
ANA_019,bm_AHOL,11
ANA_020,bm_AHOL,176
ANA_022,bm_AHOL,1
ANA_023,bm_AHOL,3
ANA_024,bm_AHOL,40
ANA_025,bm_AHOL,64
ANA_026,bm_AHOL,45
ANA_027,bm_AHOL,140
ANA_029,bm_AHOL,3
ANA_031,bm_AHOL,124
ANA_032,bm_AHOL,14
ANA_034,bm_AHOL,66
ANA_035,bm_AHOL,156
ANA_036,bm_AHOL,6
ANA_037,bm_AHOL,90
ANA_040,bm_AHOL,224
ANA_041,bm_AHOL,240
ANA_042,bm_AHOL,126
ANA_043,bm_AHOL,3
ANA_044,bm_AHOL,8
ANA_045,bm_AHOL,14
ANA_046,bm_AHOL,217
ANA_047,bm_AHOL,10
ANA_048,bm_AHOL,210
ANA_050,bm_AHOL,98
ANA_051,bm_AHOL,125
ANA_052,bm_AHOL,24
ANA_054,bm_AHOL,6
ANA_056,bm_AHOL,36
ANA_057,bm_AHOL,78
ANA_058,bm_AHOL,34
ANA_059,bm_AHOL,150
ANA_060,bm_AHOL,76
ANA_061,bm_AHOL,1
ANA_067,bm_AHOL,32
ANA_068,bm_AHOL,150
ANA_070,bm_AHOL,96
ANA_071,bm_AHOL,88
ANA_072,bm_AHOL,30
ANA_073,bm_AHOL,144
ANA_074,bm_AHOL,405
ANA_077,bm_AHOL,68
ANA_078,bm_AHOL,20
ANA_079,bm_AHOL,21
ANA_080,bm_AHOL,2
ANA_081,bm_AHOL,182
ANA_082,bm_AHOL,69
ANA_083,bm_AHOL,252
ANA_084,bm_AHOL,180
ANA_085,bm_AHOL,72
ANA_086,bm_AHOL,9
ANA_087,bm_AHOL,85
ANA_090,bm_AHOL,4
ANA_093,bm_AHOL,135
ANA_094,bm_AHOL,236
ANA_095,bm_AHOL,42
ANA_096,bm_AHOL,48
ANA_097,bm_AHOL,156
ANA_098,bm_AHOL,40
ANA_099,bm_AHOL,63
ANA_100,bm_AHOL,128
ANA_101,bm_AHOL,120
ANA_102,bm_AHOL,3
ANA_103,bm_AHOL,2
ANA_104,bm_AHOL,20
ANA_109,bm_AHOL,2
ANA_110,bm_AHOL,57
ANA_112,bm_AHOL,282
ANA_114,bm_AHOL,176
ANA_116,bm_AHOL,12
ANA_117,bm_AHOL,1
ANA_118,bm_AHOL,26
ANA_119,bm_AHOL,32
ANA_120,bm_AHOL,49
ANA_121,bm_AHOL,7
ANA_122,bm_AHOL,1
ANA_123,bm_AHOL,12
ANA_125,bm_AHOL,90
ANA_126,bm_AHOL,6
ANA_127,bm_AHOL,12
ANA_128,bm_AHOL,4
ANA_130,bm_AHOL,174
ANA_131,bm_AHOL,120
ANA_132,bm_AHOL,174
ANA_133,bm_AHOL,45
ANA_134,bm_AHOL,261
ANA_135,bm_AHOL,42
ANA_136,bm_AHOL,18
ANA_137,bm_AHOL,6
ANA_140,bm_AHOL,25
ANA_144,bm_AHOL,30
ANA_145,bm_AHOL,48
ANA_146,bm_AHOL,120
ANA_147,bm_AHOL,24
ANA_148,bm_AHOL,190
ANA_149,bm_AHOL,88
ANA_150,bm_AHOL,140
ANA_151,bm_AHOL,30
ANA_152,bm_AHOL,54
ANA_154,bm_AHOL,312
ANA_156,bm_AHOL,225
ANA_157,bm_AHOL,96
