drop_id,bm_AHOL,bm_COTSP,bm_CPRI,bm_CPUN,bm_CSOR,bm_CVEN,bm_EJAC,bm_GGAL,bm_HARG,bm_HRUB,bm_HSEM,bm_LDAL,bm_LHIR,bm_OCAL,bm_OELO,bm_OPIC,bm_OYT,bm_PATR,bm_PCAL,bm_PCLA,bm_PCOE,bm_PFUR,bm_PMAC,bm_RNIC,bm_RONSP,bm_RTOX,bm_RVAC,bm_SATR,bm_SAUR,bm_SCAR,bm_SCAU,bm_SCHR,bm_SENT,bm_SGIG,bm_SGUT,bm_SHOP,bm_SLAL,bm_SLUC,bm_SMAR,bm_SMIN,bm_SMYS,bm_SPAU,bm_SPIN,bm_SPUL,bm_SRAS,bm_SROS,bm_SRUB,bm_SSAG,bm_SSAX,bm_SSEM,bm_STRE,bm_SUMB,bm_TSYM,date,rig,usefulness,island,general_area,mpa_status,reserve_name,lat,long,time_in,depth,habitat,rugosity,relief,site,island_mpa
ANA_001,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,2019-08-30T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02636,-119.37617,1899-12-31T09:34:00Z,75,mixed_hard,medium,low,Anacapa,Anacapa MPA
ANA_002,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,2019-08-30T00:00:00Z,1,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.01966,-119.37472,1899-12-31T09:47:00Z,30.3,soft,low,low,Anacapa,Anacapa MPA
ANA_003,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259,2019-08-30T00:00:00Z,3,1,Anacapa,Back Side,REF,ANA_REF,34.00287,-119.37119,1899-12-31T11:01:00Z,51.2,mixed_soft,low,low,Anacapa,Anacapa REF
ANA_004,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,2019-09-12T00:00:00Z,8,1,Anacapa,Front Side,MPA,ANA_SMCA,34.01845,-119.4437,1899-12-31T09:02:00Z,39.8,hard,medium,low,Anacapa,Anacapa MPA
ANA_005,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,2019-09-12T00:00:00Z,1,1,Anacapa,Front Side,MPA,ANA_SMCA,34.02881,-119.41878,1899-12-31T09:31:00Z,83,soft,low,low,Anacapa,Anacapa MPA
ANA_006,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2019-09-12T00:00:00Z,8,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02077,-119.37403,1899-12-31T10:11:00Z,41.6,soft,low,low,Anacapa,Anacapa MPA
ANA_007,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2019-09-12T00:00:00Z,1,1,Anacapa,Front Side,MPA,ANA_OLD_RESERVE,34.02837,-119.37345,1899-12-31T10:51:00Z,76.3,mixed_soft,low,low,Anacapa,Anacapa MPA
ANA_009,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2019-09-12T00:00:00Z,8,1,Anacapa,Back Side,REF,ANA_REF,34.00119,-119.38372,1899-12-31T12:29:00Z,45.2,soft,low,low,Anacapa,Anacapa REF
ANA_011,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2019-09-12T00:00:00Z,8,1,Anacapa,Back Side,REF,ANA_REF,33.99858,-119.40972,1899-12-31T13:49:00Z,31.7,soft,low,low,Anacapa,Anacapa REF
ANA_013,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,2019-10-04T00:00:00Z,3,1,Anacapa,Back Side,REF,ANA_REF,34.01432,-119.34189,1899-12-31T09:35:00Z,54.4,soft,low,low,Anacapa,Anacapa REF
