filename,time_mins,period,length_mm,rms_mm,range_mm,tape_reader,drop_id,genus,species,pisco_code,number,stage,activity,date,rig,usefulness,island,general_area,mpa_status,reserve_name,lat,long,time_in,depth,habitat,rugosity,relief,site,island_mpa,org_type,common_name,species_name,kingdom,phylum,class,order,family,common_group,trophic_group,broad_trophic_group,targeted,feeding_mode,structure_forming,turf_forming,substrate,lifestyle,taxonomic_id,taxonomic_source,wl_a,wl_b,wl_w_units,wl_l_units,wl_input_length,ll_equation_for_wl,lc_a_for_wl,lc_b_for_wl,lc_type_for_wl,recreational_legal_size_in_tl_2020,commercial_legal_size_in_tl_2020,thermal_composite_class,thermal_agreement,water_column_position,mobility,substrate_association,fish_length_converted,fish_weight_g,fish_weight_lbs,fish_weight_kg
ANA_025_LEFT_SEG1.MP4,10.6212,1,257.999,27.8,1996.608,JZ,ANA_025,Semicossyphus,pulcher,SPUL,1,F,Passing,2019-12-09T00:00:00Z,1,1,Anacapa,Back Side,REF,ANA_REF,33.99554,-119.41295,1899-12-31T09:24:00Z,46.9,soft,low,low,Anacapa,Anacapa REF,fish,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Wrasses,benthic macro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,240737,WoRMS,8.45e-5,2.8047,g,mm,SL,SL=0.80TL+0.323,0.8,0.323,TYPICAL,12,13,Warm,High,benthopelagic (near the bottom),mobile (10-100m),rock,206.72220000000004,263.53,0.581,0.26353
ANA_025_LEFT_SEG1.MP4,10.6518,1,248.428,33.137,2675.588,JZ,ANA_025,Semicossyphus,pulcher,SPUL,1,F,Passing,2019-12-09T00:00:00Z,1,1,Anacapa,Back Side,REF,ANA_REF,33.99554,-119.41295,1899-12-31T09:24:00Z,46.9,soft,low,low,Anacapa,Anacapa REF,fish,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Wrasses,benthic macro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,240737,WoRMS,8.45e-5,2.8047,g,mm,SL,SL=0.80TL+0.323,0.8,0.323,TYPICAL,12,13,Warm,High,benthopelagic (near the bottom),mobile (10-100m),rock,199.0654,237.06,0.5226,0.23706
ANA_026_LEFT_SEG2.MP4,25.58,1,243.68,38.652,1439.058,JZ,ANA_026,Semicossyphus,pulcher,SPUL,1,AD,Passing,2019-12-09T00:00:00Z,11,1,Anacapa,Back Side,REF,ANA_REF,33.99674,-119.42184,1899-12-31T09:34:00Z,48.8,soft,low,low,Anacapa,Anacapa REF,fish,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Wrasses,benthic macro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,240737,WoRMS,8.45e-5,2.8047,g,mm,SL,SL=0.80TL+0.323,0.8,0.323,TYPICAL,12,13,Warm,High,benthopelagic (near the bottom),mobile (10-100m),rock,195.267,224.59,0.4951,0.22459
ANA_027_LEFT_SEG2.MP4,24.0312,1,201.404,29.121,2969.652,KM,ANA_027,Semicossyphus,pulcher,SPUL,1,F,Passing,2019-12-09T00:00:00Z,3,1,Anacapa,Back Side,REF,ANA_REF,34.00317,-119.43143,1899-12-31T09:41:00Z,40.4,soft,low,low,Anacapa,Anacapa REF,fish,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Wrasses,benthic macro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,240737,WoRMS,8.45e-5,2.8047,g,mm,SL,SL=0.80TL+0.323,0.8,0.323,TYPICAL,12,13,Warm,High,benthopelagic (near the bottom),mobile (10-100m),rock,161.4462,131.74,0.2904,0.13174
ANA_027_LEFT_SEG2.MP4,24.0312,1,308.928,19.959,2012.521,KM,ANA_027,Semicossyphus,pulcher,SPUL,1,F,Passing,2019-12-09T00:00:00Z,3,1,Anacapa,Back Side,REF,ANA_REF,34.00317,-119.43143,1899-12-31T09:41:00Z,40.4,soft,low,low,Anacapa,Anacapa REF,fish,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Wrasses,benthic macro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,240737,WoRMS,8.45e-5,2.8047,g,mm,SL,SL=0.80TL+0.323,0.8,0.323,TYPICAL,12,13,Warm,High,benthopelagic (near the bottom),mobile (10-100m),rock,247.4654,436.46,0.9622,0.43646
ANA_027_LEFT_SEG2.MP4,24.2548,1,270.013,23.434,2662.243,KM,ANA_027,Semicossyphus,pulcher,SPUL,1,F,Passing,2019-12-09T00:00:00Z,3,1,Anacapa,Back Side,REF,ANA_REF,34.00317,-119.43143,1899-12-31T09:41:00Z,40.4,soft,low,low,Anacapa,Anacapa REF,fish,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Wrasses,benthic macro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,240737,WoRMS,8.45e-5,2.8047,g,mm,SL,SL=0.80TL+0.323,0.8,0.323,TYPICAL,12,13,Warm,High,benthopelagic (near the bottom),mobile (10-100m),rock,216.3334,299.35,0.66,0.29935
ANA_031_LEFT_SEG1.MP4,8.8116,1,339.192,17.16,2767.733,JZ,ANA_031,Semicossyphus,pulcher,SPUL,1,F,Passing,2019-12-13T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_NEW_RESERVE,34.0158,-119.38899,1899-12-31T09:18:00Z,35.9,mixed_hard,low,low,Anacapa,Anacapa MPA,fish,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Wrasses,benthic macro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,240737,WoRMS,8.45e-5,2.8047,g,mm,SL,SL=0.80TL+0.323,0.8,0.323,TYPICAL,12,13,Warm,High,benthopelagic (near the bottom),mobile (10-100m),rock,271.6766,567.08,1.2502,0.56708
ANA_031_LEFT_SEG1.MP4,16.1461,1,545.626,20.886,1863.397,JZ,ANA_031,Semicossyphus,pulcher,SPUL,1,M,Passing,2019-12-13T00:00:00Z,3,1,Anacapa,Front Side,MPA,ANA_NEW_RESERVE,34.0158,-119.38899,1899-12-31T09:18:00Z,35.9,mixed_hard,low,low,Anacapa,Anacapa MPA,fish,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Wrasses,benthic macro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,240737,WoRMS,8.45e-5,2.8047,g,mm,SL,SL=0.80TL+0.323,0.8,0.323,TYPICAL,12,13,Warm,High,benthopelagic (near the bottom),mobile (10-100m),rock,436.8238,2148.44,4.7365,2.14844
ANA_037_LEFT_SEG1.MP4,3.9478,1,376.702,27.122,3822.715,JZ,ANA_037,Semicossyphus,pulcher,SPUL,1,F,Passing,2019-12-13T00:00:00Z,3,1,Anacapa,Back Side,REF,ANA_REF,34.00567,-119.43797000000001,1899-12-31T11:57:00Z,37,hard,high,high,Anacapa,Anacapa REF,fish,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Wrasses,benthic macro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,240737,WoRMS,8.45e-5,2.8047,g,mm,SL,SL=0.80TL+0.323,0.8,0.323,TYPICAL,12,13,Warm,High,benthopelagic (near the bottom),mobile (10-100m),rock,301.6846,760.78,1.6772,0.76078
ANA_037_LEFT_SEG1.MP4,3.9762,1,400.647,19.653,3204.349,JZ,ANA_037,Semicossyphus,pulcher,SPUL,1,F,Passing,2019-12-13T00:00:00Z,3,1,Anacapa,Back Side,REF,ANA_REF,34.00567,-119.43797000000001,1899-12-31T11:57:00Z,37,hard,high,high,Anacapa,Anacapa REF,fish,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Wrasses,benthic macro-invertivore,carnivore,Targeted,NA,NODATA,NODATA,NA,NA,240737,WoRMS,8.45e-5,2.8047,g,mm,SL,SL=0.80TL+0.323,0.8,0.323,TYPICAL,12,13,Warm,High,benthopelagic (near the bottom),mobile (10-100m),rock,320.8406,904.16,1.9933,0.90416
