drop_id,pisco_code,biomass_kg
ANA_001,bm_SPUL,80
ANA_002,bm_SPUL,88
ANA_003,bm_SPUL,259
ANA_004,bm_SPUL,75
ANA_005,bm_SPUL,26
ANA_006,bm_SPUL,8
ANA_007,bm_SPUL,30
ANA_009,bm_SPUL,12
ANA_011,bm_SPUL,4
ANA_013,bm_SPUL,84
ANA_015,bm_SPUL,24
ANA_018,bm_SPUL,7
ANA_019,bm_SPUL,11
ANA_020,bm_SPUL,176
ANA_022,bm_SPUL,1
ANA_023,bm_SPUL,3
ANA_024,bm_SPUL,40
ANA_025,bm_SPUL,64
ANA_026,bm_SPUL,45
ANA_027,bm_SPUL,140
ANA_029,bm_SPUL,3
ANA_031,bm_SPUL,124
ANA_032,bm_SPUL,14
ANA_034,bm_SPUL,66
ANA_035,bm_SPUL,156
ANA_036,bm_SPUL,6
ANA_037,bm_SPUL,90
ANA_040,bm_SPUL,224
ANA_041,bm_SPUL,240
ANA_042,bm_SPUL,126
ANA_043,bm_SPUL,3
ANA_044,bm_SPUL,8
ANA_045,bm_SPUL,14
ANA_046,bm_SPUL,217
ANA_047,bm_SPUL,10
ANA_048,bm_SPUL,210
ANA_050,bm_SPUL,98
ANA_051,bm_SPUL,125
ANA_052,bm_SPUL,24
ANA_054,bm_SPUL,6
ANA_056,bm_SPUL,36
ANA_057,bm_SPUL,78
ANA_058,bm_SPUL,34
ANA_059,bm_SPUL,150
ANA_060,bm_SPUL,76
ANA_061,bm_SPUL,1
ANA_067,bm_SPUL,32
ANA_068,bm_SPUL,150
ANA_070,bm_SPUL,96
ANA_071,bm_SPUL,88
ANA_072,bm_SPUL,30
ANA_073,bm_SPUL,144
ANA_074,bm_SPUL,405
ANA_077,bm_SPUL,68
ANA_078,bm_SPUL,20
ANA_079,bm_SPUL,21
ANA_080,bm_SPUL,2
ANA_081,bm_SPUL,182
ANA_082,bm_SPUL,69
ANA_083,bm_SPUL,252
ANA_084,bm_SPUL,180
ANA_085,bm_SPUL,72
ANA_086,bm_SPUL,9
ANA_087,bm_SPUL,85
ANA_090,bm_SPUL,4
ANA_093,bm_SPUL,135
ANA_094,bm_SPUL,236
ANA_095,bm_SPUL,42
ANA_096,bm_SPUL,48
ANA_097,bm_SPUL,156
ANA_098,bm_SPUL,40
ANA_099,bm_SPUL,63
ANA_100,bm_SPUL,128
ANA_101,bm_SPUL,120
