drop_id,bm_SPUL
ANA_001,80
ANA_002,88
ANA_003,259
ANA_004,75
ANA_005,26
ANA_006,8
ANA_007,30
ANA_009,12
ANA_011,4
ANA_013,84
ANA_015,24
ANA_018,7
ANA_019,11
ANA_020,176
ANA_022,1
ANA_023,3
ANA_024,40
ANA_025,64
ANA_026,45
ANA_027,140
ANA_029,3
ANA_031,124
ANA_032,14
ANA_034,66
ANA_035,156
ANA_036,6
ANA_037,90
ANA_040,224
ANA_041,240
ANA_042,126
ANA_043,3
ANA_044,8
ANA_045,14
ANA_046,217
ANA_047,10
ANA_048,210
ANA_050,98
ANA_051,125
ANA_052,24
ANA_054,6
ANA_056,36
ANA_057,78
ANA_058,34
ANA_059,150
ANA_060,76
ANA_061,1
ANA_067,32
ANA_068,150
ANA_070,96
ANA_071,88
ANA_072,30
ANA_073,144
ANA_074,405
ANA_077,68
ANA_078,20
ANA_079,21
ANA_080,2
ANA_081,182
ANA_082,69
ANA_083,252
ANA_084,180
ANA_085,72
ANA_086,9
ANA_087,85
ANA_090,4
ANA_093,135
ANA_094,236
ANA_095,42
ANA_096,48
ANA_097,156
ANA_098,40
ANA_099,63
ANA_100,128
ANA_101,120
ANA_102,3
ANA_103,2
ANA_104,20
ANA_109,2
ANA_110,57
ANA_112,282
ANA_114,176
ANA_116,12
ANA_117,1
ANA_118,26
ANA_119,32
ANA_120,49
ANA_121,7
ANA_122,1
ANA_123,12
ANA_125,90
ANA_126,6
ANA_127,12
ANA_128,4
ANA_130,174
ANA_131,120
ANA_132,174
ANA_133,45
ANA_134,261
ANA_135,42
ANA_136,18
ANA_137,6
ANA_140,25
ANA_144,30
ANA_145,48
ANA_146,120
ANA_147,24
ANA_148,190
ANA_149,88
ANA_150,140
ANA_151,30
ANA_152,54
ANA_154,312
ANA_156,225
ANA_157,96
ANA_159,5
ANA_160,189
ANA_161,240
ANA_162,12
ANA_163,60
ANA_164,135
ANA_165,126
ANA_167,24
ANA_168,30
ANA_169,366
ANA_173,9
ANA_174,56
ANA_176,8
ANA_177,576
ANA_179,136
ANA_180,16
ANA_183,102
ANA_184,210
ANA_185,6
ANA_186,72
ANA_187,44
ANA_188,168
ANA_189,182
ANA_190,39
ANA_191,48
ANA_192,36
ANA_193,245
ANA_194,9
ANA_195,55
ANA_196,75
ANA_201,44
ANA_204,6
ANA_205,210
ANA_206,88
ANA_207,66
ANA_208,150
ANA_209,110
ANA_210,120
ANA_213,24
ANA_214,175
ANA_215,40
ANA_217,27
ANA_218,240
ANA_219,256
ANA_220,10
ANA_221,100
ANA_222,42
ANA_223,3
ANA_225,95
ANA_226,168
ANA_227,98
ANA_228,52
ANA_230,14
ANA_231,60
ANA_232,8
ANA_234,72
ANA_235,21
ANA_236,272
ANA_237,1170
ANA_238,203
ANA_239,13
ANA_240,216
ANA_242,190
ANA_243,104
ANA_244,260
ANA_245,63
ANA_246,210
ANA_247,40
ANA_248,408
ANA_250,12
ANA_251,36
ANA_252,26
ANA_253,282
ANA_254,28
ANA_255,78
ANA_256,45
ANA_258,85
ANA_259,55
ANA_260,384
ANA_261,20
ANA_262,12
ANA_264,20
ANA_265,40
ANA_266,414
ANA_267,42
ANA_270,160
ANA_271,598
CAR_001,68
CAR_002,40
CAR_003,462
CAR_004,14
CAR_005,28
CAR_009,536
CAR_010,4
CAR_011,48
CAR_012,4
CAR_014,9
CAR_015,190
CAR_016,160
CAR_017,86
CAR_019,144
CAR_020,450
CAR_021,48
CAR_024,343
CAR_025,174
CAR_026,1185
CAR_028,784
CAR_029,108
CAR_031,33
CAR_033,5
CAR_034,224
CAR_036,266
CAR_037,189
CAR_042,429
CAR_043,78
CAR_044,3
CAR_045,225
CAR_046,40
CAR_049,42
CAR_050,168
CAR_051,84
CAR_052,56
CAR_055,12
CAR_057,243
CAR_058,30
CAR_059,39
CAR_060,78
CAR_061,51
CAR_062,8
CAR_065,90
CAR_066,40
CAR_067,207
CAR_068,9
CAR_069,225
CAR_071,85
CAR_072,14
CAR_073,40
CAR_074,5
CAR_075,25
CAR_076,65
CAR_077,4
CAR_078,105
CAR_079,25
CAR_080,5
CAR_081,50
CAR_082,30
CAR_083,15
CAR_084,18
CAR_085,25
CAR_086,2
CAR_088,14
CAR_089,8
CAR_092,105
CAR_096,117
CAR_097,26
CAR_099,24
CAR_100,5
CAR_101,341
CAR_102,430
CAR_103,170
CAR_104,85
CAR_105,98
CAR_106,715
CAR_107,12
CAR_108,287
CAR_109,583
CAR_110,220
CAR_113,455
CAR_114,51
CAR_115,168
CAR_116,36
CAR_117,12
CAR_118,250
CAR_121,153
CAR_122,54
CAR_123,16
CAR_124,15
CAR_125,360
CAR_126,78
CAR_127,558
CAR_128,225
CAR_129,126
CAR_130,6
CAR_131,141
CAR_132,374
CAR_133,54
CAR_202,77
CAR_203,264
CAR_205,144
CAR_206,136
CAR_207,12
CAR_208,196
CAR_210,21
CAR_211,112
CAR_212,24
CAR_213,240
CAR_214,99
CAR_215,4
CAR_216,8
CAR_217,84
CAR_218,42
CAR_219,248
CAR_220,119
CAR_221,154
CAR_222,72
CAR_223,36
CAR_224,954
CAR_225,182
CAR_226,32
CAR_227,68
CAR_228,9
CAR_230,240
CAR_231,20
CAR_232,45
CAR_233,28
CAR_234,176
CAR_237,42
CAR_238,120
CAR_240,250
CAR_241,350
CAR_242,180
CAR_243,162
CAR_244,480
CAR_245,152
CAR_246,190
CAR_248,42
CAR_249,136
CAR_250,2
CAR_251,416
CAR_252,310
CAR_254,32
CAR_255,84
CAR_256,500
CAR_257,9
CAR_258,154
CAR_259,68
CAR_260,40
CAR_262,1298
CAR_263,77
CAR_264,6
CAR_265,320
CAR_266,152
CAR_267,420
CAR_269,35
CAR_271,684
CAR_272,189
CAR_273,275
CAR_274,286
CAR_275,12
CAR_276,152
